product_id,product_name,category,subcategory,brand,price,cost,discount_percent,rating,stock_quantity,seller,launch_date
PRD_000001,Pinegrove_Fragrance_1,Beauty,Fragrance,Pinegrove,118.55,86.17,5,3.4,472,ShopSmart_Official,2025-05-07
PRD_000002,Urbanix_Haircare_2,Beauty,Haircare,Urbanix,23.91,16.92,10,4.8,1555,ShopSmart_Official,2022-05-25
PRD_000003,Lumo_Tools_3,Beauty,Tools,Lumo,8.6,5.54,15,4.0,1495,PartnerHub,2021-07-12
PRD_000004,Marlow_Children_4,Books,Children,Marlow,36.39,20.36,0,4.2,573,ValueMart,2020-01-23
PRD_000005,Northfield_Fragrance_5,Beauty,Fragrance,Northfield,16.89,11.18,15,3.8,709,ValueMart,2023-11-19
PRD_000006,Nova_Cycling_6,Sports,Cycling,Nova,156.7,114.67,5,4.1,104,MarketPlus,2020-04-21
PRD_000007,Urbanix_Footwear_7,Fashion,Footwear,Urbanix,83.59,60.32,0,4.6,1025,ValueMart,2020-03-10
PRD_000008,Pinegrove_Women_8,Fashion,Women,Pinegrove,194.82,145.22,0,4.5,538,PrimeSellers,2024-06-16
PRD_000009,Solace_Accessories_9,Fashion,Accessories,Solace,59.85,34.16,15,3.7,738,ValueMart,2022-07-24
PRD_000010,Urbanix_Storage_10,Home,Storage,Urbanix,53.53,35.25,30,2.2,1256,ValueMart,2025-04-23
PRD_000011,Everline_Children_11,Books,Children,Everline,6.3,4.29,25,4.7,1594,TopDeals_Co,2024-10-30
PRD_000012,Zenith_Kids_12,Fashion,Kids,Zenith,237.91,130.15,15,2.3,127,PartnerHub,2022-04-09
PRD_000013,Pinegrove_Fragrance_13,Beauty,Fragrance,Pinegrove,23.69,16.69,15,3.8,839,PartnerHub,2022-10-21
PRD_000014,Quanta_Furniture_14,Home,Furniture,Quanta,284.17,143.78,0,4.1,1797,ValueMart,2025-08-03
PRD_000015,Nova_Accessories_15,Electronics,Accessories,Nova,706.94,514.24,10,3.2,1981,PrimeSellers,2021-12-19
PRD_000016,Quanta_Kitchen_16,Home,Kitchen,Quanta,163.84,78.87,0,2.7,522,PartnerHub,2020-09-09
PRD_000017,Marlow_Mobile_17,Electronics,Mobile,Marlow,1061.67,484.65,10,2.8,1804,TopDeals_Co,2024-12-04
PRD_000018,Everline_Haircare_18,Beauty,Haircare,Everline,53.72,29.7,5,4.7,1672,PrimeSellers,2023-07-30
PRD_000019,Zenith_Laptop_19,Electronics,Laptop,Zenith,243.82,178.38,15,4.4,1002,PartnerHub,2025-08-09
PRD_000020,Northfield_Laptop_20,Electronics,Laptop,Northfield,452.93,261.33,10,4.6,630,PartnerHub,2024-10-03
PRD_000021,Crestwood_Footwear_21,Fashion,Footwear,Crestwood,214.0,124.23,0,4.3,1580,MarketPlus,2025-01-29
PRD_000022,Marlow_Footwear_22,Fashion,Footwear,Marlow,53.57,34.03,20,3.6,884,ValueMart,2025-01-10
PRD_000023,Quanta_Comics_23,Books,Comics,Quanta,22.67,16.58,0,4.6,858,PrimeSellers,2025-01-13
PRD_000024,Lumo_Mobile_24,Electronics,Mobile,Lumo,94.11,50.37,25,2.0,1726,PartnerHub,2021-11-13
PRD_000025,Nova_Kids_25,Fashion,Kids,Nova,37.38,17.84,25,3.9,482,ShopSmart_Official,2024-02-03
PRD_000026,Pinegrove_Headphones_26,Electronics,Headphones,Pinegrove,614.68,310.95,30,4.1,468,PrimeSellers,2023-03-02
PRD_000027,Urbanix_Women_27,Fashion,Women,Urbanix,232.89,165.97,10,2.2,1665,PrimeSellers,2023-07-12
PRD_000028,Everline_Bedding_28,Home,Bedding,Everline,342.65,250.18,15,4.1,1195,PartnerHub,2024-03-24
PRD_000029,Lumo_Kitchen_29,Home,Kitchen,Lumo,263.14,155.55,0,3.5,72,PrimeSellers,2021-03-03
PRD_000030,Northfield_NonFiction_30,Books,NonFiction,Northfield,51.49,29.45,25,4.5,1499,PartnerHub,2025-10-16
PRD_000031,Vireo_Mobile_31,Electronics,Mobile,Vireo,72.17,48.33,30,3.1,550,ShopSmart_Official,2023-01-21
PRD_000032,Marlow_Laptop_32,Electronics,Laptop,Marlow,142.64,83.75,0,3.3,987,PrimeSellers,2025-11-29
